Messstelle:                ;Kolming
HZB-Nummer:                ;206839
HD-Nummer:                 ;2250
DBMS-Nummer:               ;4001224
Gewässer:                  ;Schwemmbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;151,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   07.11.1990              ;00484,50
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   07.11.1990              ;441145,00 - 322005,00
   24.03.2020              ;441114,48 - 322050,31
Exportzeitreihe:           ;(4001224,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[07.11.1990 00:00,01.01.2022 00:00]
Werte:
18.11.1990 22:15:00; 0,699
12.12.1990 10:00:00; 0,542
18.01.1991 11:30:00; 0,021
02.02.1991 09:00:00; 0,379
16.03.1991 17:00:00; 0,264
25.04.1991 20:15:00; 0,379
10.05.1991 07:45:00; 0,379
10.06.1991 11:15:00; 0,021
06.07.1991 08:00:00; 0,379
26.08.1991 22:00:00; 0,621
11.09.1991 07:45:00; 0,542
14.10.1991 23:15:00; 0,021
01.11.1991 07:00:00; 0,542
16.12.1991 18:45:00; 0,296
24.01.1992 13:30:00; 0,617
03.02.1992 19:30:00; 0,617
11.03.1992 00:15:00; 0,625
17.04.1992 01:15:00; 0,783
29.05.1992 14:45:00; 0,388
03.06.1992 16:00:00; 0,388
12.07.1992 11:45:00; 0,388
12.08.1992 19:15:00; 0,388
14.09.1992 00:00:00; 0,388
10.10.1992 04:45:00; 0,388
10.11.1992 20:30:00; 0,388
28.12.1992 09:30:00; 0,542
06.01.1993 21:45:00; 0,230
23.02.1993 10:00:00; 0,296
13.03.1993 09:30:00; 0,379
29.04.1993 09:00:00; 0,542
19.05.1993 09:15:00; 0,379
08.06.1993 14:00:00; 0,120
05.07.1993 09:15:00; 0,255
22.08.1993 18:30:00; 0,410
22.09.1993 12:30:00; 0,796
13.10.1993 18:30:00; 0,641
15.11.1993 07:15:00; 0,487
01.12.1993 00:00:00; 0,488
19.01.1994 09:45:00; 0,719
14.02.1994 09:45:00; 0,309
01.03.1994 07:30:00; 0,942
10.04.1994 19:15:00;  1,18
17.05.1994 23:30:00; 0,796
27.06.1994 06:15:00; 0,873
21.07.1994 15:00:00; 0,487
16.08.1994 10:30:00; 0,564
27.09.1994 15:30:00; 0,388
02.10.1994 08:00:00; 0,546
04.11.1994 09:45:00; 0,467
08.12.1994 09:15:00; 0,641
17.01.1995 17:30:00; 0,641
03.02.1995 11:30:00;  1,11
03.03.1995 13:15:00; 0,796
27.04.1995 07:15:00; 0,294
29.05.1995 13:45:00; 0,487
12.06.1995 07:45:00; 0,641
24.07.1995 14:15:00; 0,796
19.08.1995 19:00:00; 0,410
26.09.1995 08:00:00;  1,03
25.10.1995 06:30:00; 0,796
01.11.1995 08:45:00; 0,873
